Quantity,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5,Tick_6,Tick_7,Tick_8,Tick_9,Tick_10,Tick_11,Tick_12,Tick_13,Tick_14,Tick_15
Limit Buy Mean,45354,11419,2869,1648,827,553,619,258,292,119,501,306,126,110,122
Limit Sell Mean,37092,11148,3109,2698,1893,1055,1037,690,1002,616,737,397,58,65,79
Cancel Buy Mean,86182,94112,18054,10493,8822,8731,3577,1837,3336,1202,8616,738,240,447,311
Cancel Sell Mean,75284,84820,30191,10742,8680,6121,9937,3783,2094,5487,1755,3050,1052,720,2369
Limit Buy 10-11,32323,5654,4577,2432,1012,785,913,289,218,383,340,790,623,220,70
Limit Buy 11-12,40386,8732,2079,366,583,903,244,55,0,10,0,0,10,0,1
Limit Buy 12-13,46227,13053,4249,2232,1148,201,245,555,0,100,100,0,0,0,100
Limit Buy 14-15,55438,18619,2582,2297,345,79,706,0,896,100,2640,968,1,0,99
Limit Buy 15-16,42021,10417,1252,511,734,469,136,150,162,172,84,251,250,550,500
Limit Buy 16-17,44018,11935,2717,2231,897,831,1313,260,200,45,314,10,0,1,86
Limit Buy 17-18,57067,11525,2628,1470,1070,601,779,500,567,20,32,120,0,1,0
Limit Sell 10-11,25976,4974,2120,1943,1605,632,742,1188,1032,804,463,814,80,133,90
Limit Sell 11-12,26937,7732,1554,2144,1268,477,224,90,3584,629,218,31,21,1,285
Limit Sell 12-13,34915,10440,2968,2175,2986,2076,1040,630,202,458,1346,854,70,1,25
Limit Sell 14-15,38196,9017,3020,3550,1733,1270,2190,988,451,1727,2464,893,185,0,25
Limit Sell 15-16,48034,11587,1420,2012,358,968,283,269,10,12,514,139,47,0,20
Limit Sell 16-17,42823,17512,4001,3992,4108,851,313,608,380,20,150,22,3,317,96
Limit Sell 17-18,42760,16774,6680,3070,1190,1109,2465,1058,1353,664,6,26,2,1,14
Cancel Buy 10-11,33380,66595,22941,8903,15284,479,7301,1893,7283,2309,1787,301,453,2003,1684
Cancel Buy 11-12,53319,84013,16086,6971,5493,244,1402,968,0,986,1557,0,0,1,302
Cancel Buy 12-13,76307,126108,29568,7800,4241,27643,340,767,468,2,43255,0,848,831,192
Cancel Buy 14-15,180751,113180,14531,5722,10983,3796,15489,176,5926,3238,7357,4840,352,266,2
Cancel Buy 15-16,92381,50106,3428,8802,3825,4886,0,9,835,0,0,0,0,0,0
Cancel Buy 16-17,55980,106507,15137,13155,9284,3456,39,392,0,201,5483,29,0,25,0
Cancel Buy 17-18,111156,112274,24684,22101,12644,20610,471,8656,8842,1676,872,0,27,0,0
Cancel Sell 10-11,22986,30887,40328,4589,628,7200,5314,7224,3268,3250,319,0,0,0,13
Cancel Sell 11-12,35056,53596,10377,4806,2395,2489,211,3467,9031,4318,307,19,298,0,141
Cancel Sell 12-13,97643,109103,49130,3263,3169,2339,56,183,0,824,693,1365,201,0,1
Cancel Sell 14-15,33002,56887,5053,6091,1923,2252,8050,606,663,7101,7922,1835,661,0,0
Cancel Sell 15-16,94186,145669,24800,22884,8716,15162,14888,4932,40,21650,2780,394,55,1653,0
Cancel Sell 16-17,59252,69622,28688,3746,31667,12579,20096,8036,0,145,93,4893,4142,3388,16329
Cancel Sell 17-18,184863,127973,52962,29812,12262,824,20944,2031,1656,1117,170,12844,2008,0,100
