Quantity, First, Second, Third, Fourth, Fifth, Sixth, Seventh, Eighth, Ninth, Tenth
Limit Buy Mean, 24741, 7322, 1118, 518, 759, 763, 338, 349, 144, 281
Limit Sell Mean, 26904, 7485, 2144, 1183, 2719, 1183, 475, 205, 254, 256
Cancel Buy Mean, 962, 693, 304, 91, 66, 39, 13, 59, 12, 18
Cancel Sell Mean, 1023, 586, 414, 215, 227, 170, 77, 36, 9, 77
Limit Buy 10-11, 27733, 7838, 2299, 740, 1582, 1423, 763, 378, 270, 440
Limit Buy 11-12, 31282, 6891, 650, 429, 192, 1531, 404, 500, 20, 5
Limit Buy 12-13, 12550, 5973, 399, 712, 125, 1010, 1, 20, 0, 0
Limit Buy 14-15, 24076, 5586, 774, 124, 947, 82, 982, 6, 6, 101
Limit Buy 15-16, 14675, 4357, 970, 177, 227, 10, 0, 0, 63, 400
Limit Buy 16-17, 24288, 7608, 1250, 642, 1440, 350, 0, 0, 41, 10
Limit Buy 17-18, 38580, 12999, 1485, 800, 801, 935, 220, 1539, 609, 1010
Limit Sell 10-11, 38977, 8562, 3422, 2949, 3489, 2232, 510, 1125, 516, 980
Limit Sell 11-12, 31671, 7570, 2047, 471, 2560, 419, 1213, 100, 1, 654
Limit Sell 12-13, 14298, 2558, 1509, 1933, 4229, 963, 103, 3, 5, 125
Limit Sell 14-15, 25800, 10220, 1580, 1121, 2781, 1497, 345, 30, 250, 0
Limit Sell 15-16, 9886, 2572, 1767, 206, 1546, 769, 15, 30, 1003, 30
Limit Sell 16-17, 26343, 9768, 3029, 529, 2860, 2136, 1115, 50, 0, 4
Limit Sell 17-18, 41355, 11142, 1654, 1071, 1569, 265, 27, 100, 0, 0
Cancel Buy 10-11, 735, 703, 155, 54, 31, 18, 23, 70, 3, 0
Cancel Buy 11-12, 964, 1123, 575, 124, 114, 55, 20, 32, 11, 0
Cancel Buy 12-13, 653, 387, 62, 18, 22, 39, 0, 0, 0, 14
Cancel Buy 14-15, 1358, 446, 363, 163, 125, 7, 0, 76, 65, 0
Cancel Buy 15-16, 533, 508, 84, 4, 61, 55, 8, 12, 0, 92
Cancel Buy 16-17, 999, 784, 189, 156, 30, 60, 3, 10, 0, 8
Cancel Buy 17-18, 1489, 901, 704, 116, 82, 43, 34, 210, 6, 13
Cancel Sell 10-11, 585, 690, 368, 287, 212, 155, 57, 110, 4, 72
Cancel Sell 11-12, 677, 556, 250, 60, 413, 94, 0, 0, 0, 95
Cancel Sell 12-13, 464, 488, 213, 354, 373, 189, 248, 0, 0, 98
Cancel Sell 14-15, 2144, 861, 1267, 141, 147, 218, 66, 36, 0, 0
Cancel Sell 15-16, 648, 257, 109, 171, 70, 161, 28, 17, 0, 2
Cancel Sell 16-17, 1096, 755, 537, 250, 342, 356, 2, 25, 0, 10
Cancel Sell 17-18, 1545, 497, 154, 243, 32, 17, 136, 63, 56, 264
